source_id,source_locator,page,entry_block_record,source_target_language_text,translation,translation_alt,translation_alt_in_xml,omitted_translation_reason,gloss,extraction_method,confidence_review_note,included_in_xml,exclusion_reason,final_xml_filename,final_s_id
excluded_001,PDF p. 74; printed p. 69; example (1),74,example 1,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",n/a,,COREL man GEN dog sick is that man DO I ERG saw,embedded text plus complete rendered-page review,"Excluded from XML because it is a Hindi comparison example, not Seediq target data.",no,"Excluded from XML because it is a Hindi comparison example, not Seediq target data.",,
tsukida2014_seediq_S001,PDF p. 74; printed p. 69; example (2),74,example 2,Malu ka hiyi=su?,Is your body well? How are you?,,n/a,,AV.good NOM body=2SG.GEN,embedded text plus complete rendered-page review,"First-page visual check confirms the form, gloss, and translation.",yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S001
tsukida2014_seediq_S002,PDF p. 75; printed p. 70; example (3),75,example 3,deha huliŋ kumu gaga,Those two dogs of Kumu's,,n/a,,two dog Kumu DIST,embedded text plus complete rendered-page review,Gloss line aligns with source words.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S002
tsukida2014_seediq_S003,PDF p. 75; printed p. 70; example (4),75,example 4,"Saman 'u, mawsa=nami Tehaypaq da.","As for tomorrow, we will go to Taipei.",,n/a,,tomorrow PTC AV.FUT.go=1PLEX.NOM Taipei NS,embedded text plus complete rendered-page review,Source uses PTC in the gloss for 'u.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S003
tsukida2014_seediq_S004,PDF p. 75; printed p. 70; example (5),75,example 5,"Sapah=na 'u, hebaraw ka patas=na.","As for his house, there are many books.",,n/a,,house=3SG.GEN PRT AV.many NOM book=3SG.GEN,embedded text plus complete rendered-page review,Source uses PRT in the gloss for 'u.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S004
tsukida2014_seediq_S005,PDF p. 75; printed p. 70; example (6),75,example 6,"Laqi gaga 'u, malu (ka hiya).","As for that child, s/he is good.",,n/a,,child DIST PTC AV.good NOM 3SG,embedded text plus complete rendered-page review,Source optionality parentheses around ka hiya are preserved in the sentence-level original FORM; W/M emission is suppressed because the analytical span makes safe token alignment ambiguous.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S005
tsukida2014_seediq_S006,PDF p. 75; printed p. 70; example (7),75,example 7,"Kumu 'u, b-en-arig=na laqi=na ka patas niyi.","As for Kumu, she bought this book for her child.",,n/a,,Kumu PRT CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,embedded text plus complete rendered-page review,Source example later repeats this as (28a); that duplicate row is excluded.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S006
tsukida2014_seediq_S007,PDF p. 75; printed p. 70; example (8),75,example 8,"Deha laqi niyi 'u, tege'ima ka sewayi=su?","As for these two children, which is your younger sibling?",,n/a,,two child PRX PRT which NOM younger.sibling=2SG.GEN,embedded text plus complete rendered-page review,Question mark preserved at S-level and stripped from W-level tokenization.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S007
tsukida2014_seediq_S008,PDF p. 76; printed p. 71; example (9),76,example 9,Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika (ka lupuŋ gaga).,The guest to whom that Yudaw is talking over there is from America.,,n/a,,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST,embedded text plus complete rendered-page review,Source optionality parentheses around ka lupuŋ gaga are preserved in the sentence-level original FORM; W/M emission is suppressed because the analytical span makes safe token alignment ambiguous.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S008
excluded_002,PDF pp. 76-77; printed pp. 71-72; example (10),76-77,example 10,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",n/a,,COREL man GEN dog sick is that man DO I RF saw,embedded text plus complete rendered-page review,"Excluded from XML because it repeats the Hindi comparison example, not Seediq target data.",no,"Excluded from XML because it repeats the Hindi comparison example, not Seediq target data.",,
excluded_003a,PDF p. 77; printed p. 72; example (11a),77,example 11a,Ngatjulu-rlu kapi-rna wawirri purra-mi kutja-npa parntu-rnu nyuntulu-rlu].,I will cook the kangaroo that you speared.,,n/a,,1-erg FUT-1sg kangaroo cook-nonpast rel-2sg spear-past you-erg,embedded text plus complete rendered-page review,Excluded as Warlpiri comparison data. The source-visible unmatched closing bracket is preserved exactly; the translation is shared by examples 11a and 11b.,no,Excluded as Warlpiri comparison data. The source-visible unmatched closing bracket is preserved exactly; the translation is shared by examples 11a and 11b.,,
excluded_003b,PDF p. 77; printed p. 72; example (11b),77,example 11b,[Nyuntulu-rlu kutja-npa wawirri pantu-rnu] ngatjulu-rlu kapi-rna purra-mi.,I will cook the kangaroo that you speared.,,n/a,,you-erg rel-2sg kangaroo spear-past I-erg FUT-1sg cook-nonpast,embedded text plus complete rendered-page review,Excluded as Warlpiri comparison data. The bracketed left-side clause and source spelling pantu-rnu are preserved; the translation is shared by examples 11a and 11b.,no,Excluded as Warlpiri comparison data. The bracketed left-side clause and source spelling pantu-rnu are preserved; the translation is shared by examples 11a and 11b.,,
excluded_004,PDF p. 77; printed p. 72; example (12),77,example 12,ŋan̪i wil̪a-ni yat̪a-l̪a ŋana-yi/ yinda-ṇan̪i.,I'll talk to the woman who is crying.,,n/a,,1sg woman-LOC speak-FUT AUX-PRES cry-RELds,embedded text plus complete rendered-page review,"Excluded from XML because it is a Diyari comparison example, not Seediq target data.",no,"Excluded from XML because it is a Diyari comparison example, not Seediq target data.",,
tsukida2014_seediq_S009,PDF p. 78; printed p. 73; example (13),78,example 13,"Ga r-em-eŋaw lupuŋ ka yudaw ga 'u, pena'ah 'Amirika.",Yudaw who is speaking to a/the guest is from America.,"* The guest to whom Yudaw is talking to, he is from America.",no,"The starred English line marks an impossible interpretation, not an ungrammatical Seediq form. It remains in source evidence but is omitted from XML per reviewer decision.",DIST.PRG AV-talk guest NOM Yudaw DIST PTC from America,embedded text plus complete rendered-page review,"The starred English line marks an impossible interpretation, not an ungrammatical Seediq form. It remains in source evidence but is omitted from XML per reviewer decision.",yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S009
tsukida2014_seediq_S010,PDF p. 78; printed p. 73; example (14a),78,example 14a,"*Sepeg-un rubiq ka patas 'u, m-en-egay (patas) ka tama=na.",,,n/a,,read-GV1 Rubiq NOM book PTC AV-PRF-give book NOM father=3SG.GEN,embedded text plus complete rendered-page review,Excluded under the FormosanBank source-initial-asterisk rule; the leading star and optionality parentheses are preserved in reviewed evidence.,no,Excluded under the FormosanBank source-initial-asterisk rule; the leading star and optionality parentheses are preserved in reviewed evidence.,,
tsukida2014_seediq_S011,PDF p. 78; printed p. 73; example (14b),78,example 14b,"Sepeg-un rubiq ka patas 'u, b-en-egay tama=na.",Her father gave (her) this book which Rubiq will read.,,n/a,,read-GV1 Rubiq NOM book PTC CV.PRF-give father=3SG.GEN,embedded text plus complete rendered-page review,Translation appears under subexample b in the source.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S011
tsukida2014_seediq_S012,PDF p. 79; printed p. 74; example (15a),79,example 15a,"*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-iq-an=na patas ka rubiq.",,,n/a,,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC PRF-give-GV=3SG.GEN book NOM Rubiq,embedded text plus complete rendered-page review,Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.,no,Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.,,
tsukida2014_seediq_S013,PDF p. 79; printed p. 74; example (15b),79,example 15b,"Ga reŋag-an yudaw ga ka lupuŋ 'u, m-en-egay patas rebiq-an.",The guest to whom Yudaw is talking to will give a/the book to Rubiq.,,n/a,,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC AV-PRF-give book Rubiq-OBL,embedded text plus complete rendered-page review,Source translation retained.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S013
tsukida2014_seediq_S014,PDF p. 79; printed p. 74; example (16a),79,example 16a,"*Saw 'adi mpeke-geruŋ ka peratu 'u, m-barig=ku.",,,n/a,,like NEG AV.FUT-break NOM plate PTC AV.FUT-buy=1SG.NOM,embedded text plus complete rendered-page review,Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.,no,Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.,,
tsukida2014_seediq_S015,PDF p. 79; printed p. 74; example (16b),79,example 16b,"Saw 'adi mpeke-geruŋ ka peratu 'u, berig-un=mu.",I will buy such a plate as will not break.,,n/a,,like NEG AV.FUT-break NOM plate PTC buy-GV1=1SG.GEN,embedded text plus complete rendered-page review,Source notes that clause-A is identical in (16b) and (17b).,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S015
tsukida2014_seediq_S016,PDF p. 79; printed p. 74; example (17a),79,example 17a,"Saw mpe-takur ka laqi 'u, pelekuh-un=na da.","When the child is likely to stumble, he supports the child.",He supported the child who was likely to stumble.,yes,,like AV.FUT-stumble NOM child PTC support-GV1=3SG.GEN NS,embedded text plus complete rendered-page review,Source supplies temporal and correlative interpretations; second translation is emitted as ver=alt.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S016
tsukida2014_seediq_S017,PDF p. 79; printed p. 74; example (17b),79,example 17b,"Saw 'adi mpeke-geruŋ ka peratu 'u, seku-'un=mu kulu.",I put the plate in a box lest it should break.,,n/a,,like NEG AV.FUT-break NOM plate PTC put-GV1=1SG.GEN box,embedded text plus complete rendered-page review,Source compares this clause-A with example (16b).,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S017
tsukida2014_seediq_S018,PDF p. 80; printed p. 75; example (18a),80,example 18a,Wada qeduriq ka se'diq [p-en-huqil rebiq-an].,The person who killed Rubiq escaped away.,,n/a,,is.gone AC.escape NOM person AV.PRF-kill Rubiq-OBL,embedded text plus complete rendered-page review,Source heading identifies this as External RC. Square brackets marking the external relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S018
tsukida2014_seediq_S019,PDF p. 80; printed p. 75; example (18b),80,example 18b,Wada qeduriq ka [p-en-huqil rebiq-an ka se'diq].,The person who killed Rubiq escaped away.,,n/a,,is.gone AV.escape NOM AV.PRF-kill Rubiq-OBL NOM person,embedded text plus complete rendered-page review,Source heading identifies this as Internal RC. Square brackets marking the internal relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S019
tsukida2014_seediq_S020,PDF p. 80; printed p. 75; example (19a),80,example 19a,S-em-en-teruŋ=ku se'diq [m-en-uway patas rebiq-an].,I met [the man who gave Rubiq a book].,,n/a,,AV-PRF-meet=1SG.NOM person AV-PRF-give book Rubiq-OBL,embedded text plus complete rendered-page review,Source square brackets in the target form and translation are preserved; W/M emission is suppressed. The source appends the analytical label (externally-headed RC) after the translation.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S020
tsukida2014_seediq_S021,PDF p. 80; printed p. 75; example (19b),80,example 19b,S-em-en-teruŋ=ku [m-en-uway patas rebiq-an ka se'diq].,I met [the man who gave Rubiq a book].,,n/a,,AV-PRF-meet=1SG.NOM AV-PRF-give book Rubiq-OBL NOM person,embedded text plus complete rendered-page review,Source square brackets in the target form and translation are preserved; W/M emission is suppressed. The source appends the analytical label (internally-headed RC) after the translation.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S021
excluded_005a,PDF p. 81; printed p. 76; example (20a),81,example 20a,The child came first in the examination; he is very talented.,The child came first in the examination; he is very talented.,,n/a,,,embedded text plus complete rendered-page review,"Excluded from XML because it is an English comparison example, not Seediq target data.",no,"Excluded from XML because it is an English comparison example, not Seediq target data.",,
excluded_005b,PDF p. 81; printed p. 76; example (20b),81,example 20b,The child who came first in the examination is very talented.,The child who came first in the examination is very talented.,,n/a,,,embedded text plus complete rendered-page review,"Excluded from XML because it is an English comparison example, not Seediq target data.",no,"Excluded from XML because it is an English comparison example, not Seediq target data.",,
tsukida2014_seediq_S022,PDF p. 81; printed p. 76; example (21),81,example 21,"Adi mpe-sepug ka laqi 'u, seku-i haya.","As the child will not read, put it away.",,n/a,,NEG AV.FUT-read NOM child PTC put.away-GV.NFIN BEN,embedded text plus complete rendered-page review,Source labels this interpretation E1 Reason.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S022
tsukida2014_seediq_S023,PDF p. 81; printed p. 76; example (22),81,example 22,"M-uduh siyaŋ ka sehiga 'u, 'eme-'ima ka m-eniq hiya?","When they roasted meat, who were there?",,n/a,,AV-roast pork NOM yesterday PTC PL-who NOM AV-exist there,embedded text plus complete rendered-page review,Source labels this interpretation E2 Temporal.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S023
tsukida2014_seediq_S024,PDF p. 81; printed p. 76; example (23),81,example 23,"M-iyah q-em-ita tema-'an ka rubiq 'u, wada ŋaŋut ka tama.","Though rubiq came to see father, father went outside.",,n/a,,AV-come AV-see father-OBL NOM Rubiq PTC is.gone outside NOM father,embedded text plus complete rendered-page review,Source labels this interpretation E3 Concession; translation lowercases rubiq.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S024
tsukida2014_seediq_S025,PDF pp. 81-82; printed pp. 76-77; example (24),81-82,example 24,"M-iyah=su hini 'u, me-qaras=ku.","If you come, I would be glad.",,n/a,,AV-come=2SG.NOM here PTC AV-be:glad=1SG.NOM,embedded text plus complete rendered-page review,Example begins on PDF p. 81 and translation appears on PDF p. 82.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S025
tsukida2014_seediq_S026,PDF p. 82; printed p. 77; example (25),82,example 25,"T-em-egesa 'uyas kelemukan ka tiwaŋ 'u, t-em-egesa 'uyas nihuŋ ka daway 'uri.","Ciwang taught Taiwanese songs, and Daway taught Japanese songs.",,n/a,,AV-teach song Taiwanese NOM Ciwang PTC AV-teach song Japanese NOM Daway also,embedded text plus complete rendered-page review,Source labels this interpretation F Contrast; target line has tiwaŋ while gloss has Ciwang.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S026
tsukida2014_seediq_S027,PDF p. 82; printed p. 77; example (26),82,example 26,"Pe-kedus-un=ta=na ka 'ita 'u, m-en-da huway yisu kirisuto tehawlaŋ.","That we are made to live by him, it is through the grace of Lord Jesus Christ.",,n/a,,CAUS-live-GV1=1PLIN.NOM=3SG.GEN NOM 1PLIN PTC AV-PRF-pass grace Jisus Christ lord,embedded text plus complete rendered-page review,Source labels this interpretation G Explanation.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S027
tsukida2014_seediq_S028,PDF p. 82; printed p. 77; example (27),82,example 27,"M-usa sapah rubiq ka kumu 'u, me-kela ka rubiq.",Rubiq knows that Kumu went to Rubiq's house.,,n/a,,AV-go house Rubiq NOM Kumu PTC AV-know NOM Rubiq,embedded text plus complete rendered-page review,Source labels this interpretation H Content of cognition.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S028
tsukida2014_seediq_S029,PDF p. 83; printed p. 78; duplicate-labeled example (27),83,example 27-2,"[P-en-huqil rebiq-an ka se'diq] 'u, wada qeduriq.",The person who killed Rubiq escaped.,,n/a,,AV.PRF-kill Rubiq-OBL NOM person PTC is.gone AV.escape,embedded text plus complete rendered-page review,Source reuses label (27); the bracketed left-dislocated internal relative-clause span is preserved in sentence-level original FORM and W/M emission is suppressed.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S029
excluded_006,PDF p. 83; printed p. 78; example (28a),83,example 28a,"Kumuᵢ 'u, b-en-arig=naᵢ laqi=na ka patas niyi.","As for Kumu, she bought this book for her child.",,n/a,,Kumu PTC CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,embedded text plus complete rendered-page review,Excluded because the source explicitly marks this as example (7); source coindex subscripts are preserved in reviewed evidence.,no,Excluded because the source explicitly marks this as example (7); source coindex subscripts are preserved in reviewed evidence.,,
tsukida2014_seediq_S030,PDF p. 83; printed p. 78; example (28b),83,example 28b,"*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-arig=na laqi=na ka patas niyi.","As for the guest to whom Yudaw is talking to, s/he bought this book for her/his child.",,n/a,,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,embedded text plus complete rendered-page review,Excluded under the FormosanBank source-initial-asterisk rule; the leading star and intended-meaning translation are preserved in reviewed evidence.,no,Excluded under the FormosanBank source-initial-asterisk rule; the leading star and intended-meaning translation are preserved in reviewed evidence.,,
tsukida2014_seediq_S031,PDF p. 83; printed p. 78; example (29),83,example 29,*B-en-arig [ga reŋag-an yudaw ga ka lupuŋ] laqi=na ka patas niyi.,The guest to whom Yudaw is talking tobought this for her/his child.,,n/a,,CV.PRF-buy DIST.PRG talk-GV2 Yudaw DIST NOM guest child=3SG.GEN NOM book PRX,embedded text plus complete rendered-page review,"Excluded under the FormosanBank source-initial-asterisk rule; leading star, bracketed internal relative clause, and source typo tobought are preserved in reviewed evidence.",no,"Excluded under the FormosanBank source-initial-asterisk rule; leading star, bracketed internal relative clause, and source typo tobought are preserved in reviewed evidence.",,
